Unemployment averaged 3.2 per cent for the year as a whole, sustaining a state of full employment.	失业率全年平均在百分之三点二的低位，维持全民就业。
The Mission visited Hong Kong from October 23 to November 3 for the 2017 Article IV Consultation with the HKSAR. It held discussions with Government officials, regulators and private sector representatives.	基金组织代表团于十月二十三日至十一月三日到访香港，就香港特别行政区进行二零一七年第四条磋商讨论，其间曾会见政府官员、监管机构及私营机构代表。
Ends/Thursday, May 25, 2017	2017年5月25日（星期四）
Outlining other key service improvement programmes in the coming fiscal year, the HA Chief Executive, Dr Leung Pak-yin, said that with the increased financial provision, the HA will be able to enhance the provision of drugs to patients with psychosis, dementia and prostate cancer, and to augment the mental health services by further strengthening service provision in hospital, ambulatory and community settings.	行政总裁梁栢贤医生在阐述来年开展的主要服务计划时表示，随着财政拨款增加，医管局会加强对思觉失调、脑退化症及前列腺癌症病人的药物治疗，同时亦会进一步改善精神科的住院、日间及社区服务。
Mr Chan said Hong Kong would continue to build on its status as the global offshore Renminbi (RMB) business hub and will explore with Mainland authorities ways to open up more two-way cross-border channels for RMB fund flows.	陈茂波表示，将继续提升香港作为全球离岸人民币业务枢纽的地位，并与内地当局探讨扩大跨境人民币双向流通的渠道。
Chatham House is an organisation that brings together key opinion-formers and decision-makers from public policy and business to present and debate new approaches to global challenges.	英国皇家国际事务研究所汇聚公共政策和商界决策者和言论有影响力的人士，提出应对全球挑战的新方针。
Mr Chan also allocated $2.5 billion to launch the eighth round of the Matching Grant Scheme. The addition, he said, will help the 10 publicly funded post-secondary institutions tap more funding sources, promote community involvement and improve the quality of education.	陈茂波亦建议拨款25亿元，推行第八轮配对补助金计划，为获公帑资助的十间专上教育院校开拓经费来源，促进社会各界共同参与，提升教育质素。
He said Hong Kong was the first place outside the Mainland to have a Renminbi bonds market.	他表示，香港是内地以外首个地区有人民币债券市场。
In addition to extending technology infrastructure, the Government also provides a comprehensive package of "software" support to innovation and technology development.	除基础建设外，在软件方面，政府亦提供全方位的支援，以促进创新及科技发展。
Ends/Saturday, October 15, 2016	2016年10月15日（星期六）
"The recent decisions to abolish wine and beer duty and waive hotel accommodation tax are clear indications of our determination.	「最近取消葡萄酒和啤酒税，及免收酒店房租税的决定，均足以证明我们的决心。」
Ends/Wednesday, February 24, 2016Issued at HKT 14:47	２０１６年２月２４日（星期三）香港时间１４时４６分
“On the fiscal front, the Government will continue to strengthen Hong Kong’s public finances with our usual prudence and discipline.”     S&P last raised the outlook for Hong Kong’s long-term foreign- and local-currency sovereign ratings, both at “AA”, to “Positive” from “Stable” in July 2007.	「财政方面，政府会继续改善香港的公共财政状况，贯彻遵守审慎的理财原则。」 标普在二○○七年七月把香港外币及本币主权评级AA级的展望，从稳定调升到正面。
The APEC Finance Ministers' Process provides an annual forum for APEC member economies to exchange views and information on regional macroeconomic and financial developments.	亚太经合组织财政部长进程提供一个平台，让组织成员每年就区域宏观经济及金融发展交换意见及资讯。
Total revenue for 2015-16 was $457 billion, 4.2 per cent or $20 billion lower than the original estimate. This was mainly due to a $45 billion allocation from investment returns to top up the Housing Reserve to $74 billion, and changes in different income.	二零一五／一六年度政府收入的修订预算是4,570亿元，较原来预算低4.2%，即200亿元，主要反映向房屋储备金注入投资收益450亿元至结余740亿元的安排，以及不同的收入变动。
He said the direct flights would further strengthen the close ties between Hong Kong and Ireland on trade, tourism and cultural fronts.	他表示，两地之间的直航服务将会进一步加强香港和爱尔兰在贸易、旅游和文化等多方面的联系。
This was followed by a meeting with the Vice Governor of Sichuan Province, Mr Wei Hong.	曾俊华与四川省副省长魏宏会面。
What is the Hong Kong Government's position on this?	今次在政治上的意味是什么？
Accompanied by the Yau Tsim Mong District Officer, Miss Amy Chow, the Financial Secretary first visited Sir Ellis Kadoorie Secondary School (West Kowloon).	曾俊华于油尖旺区民政事务专员周慧芬的陪同下，首先前往官立嘉道理爵士中学（西九龙）参观，了解学生的学习情况。
Following is the transcript of remarks by the Financial Secretary, Mr John C Tsang, at a media session in Beijing today (November 29):	财政司司长北京会见传媒谈话全文 以下是财政司司长曾俊华今日（十一月二十九日）上午在北京会见传媒的谈话全文：
An International Monetary Fund (IMF) Staff Mission has commended the Hong Kong Special Administrative Region (HKSAR) for its strong policy frameworks, robust oversight of the financial system and ample buffers, which stand the economy in good stead to meet challenges ahead.	国际货币基金组织（基金组织）代表团赞扬香港特别行政区拥有强而有力的政策框架、健全的金融体系监管及充裕的缓冲空间，有良好的基础迎接未来的挑战。
Hong Kong will continue its efforts to expand its network of CDTAs with trading and investment partners.	香港将继续致力扩展与贸易及投资伙伴的全面性协定网络。
Tai Wo Plaza, Tai Po	大埔太和广场
The report assessed each economy on four competitiveness factors: "Economic performance", "Government efficiency", "Business efficiency" and "Infrastructure", each consisting of five sub-factors.	报告根据「经济表现」、「政府效率」、「营商效率」及「基础建设」四项竞争力因素对各经济体作评估，而每项因素都由五项子因素所组成。
6. Best Mobile Apps Grand Award, with Hong Kong Wireless Technology Industry Association as Leading Organiser:	（六）最佳流动应用程式大奖（筹办机构为香港无线科技商会）：
Mr Tsang announced a variety of measures to develop Hong Kong's pillar industries of financial services, tourism, trade and logistics and business and professional services.	财政司司长宣布一系列措施发展香港的支柱产业，包括贸易和物流业、旅游业、金融业和工商及专业服务。
On the second day of his visit, Mr Chan first attended a roundtable discussion with the Minister of State at the Department of Finance and the Department of Public Expenditure and Reform of Ireland, Mr Michael D'arcy and a group of key figures in Irish financial services, to discuss the latest development of green finance in both places.	他展开第二天访问行程，早上先与爱尔兰财政部国务部长麦克尔‧达西和当地的金融界业界会面，讨论两地绿色金融发展。
Mr Tsang noted that the establishment of the joint venture will mark a new platform of financial co-operation between the Mainland and Hong Kong. It will not only help open up, develop and reform of the Mainland's capital market, but will also increase its competitiveness.	曾俊华表示沪深港交易所合资公司的成立，标志着内地与香港的金融合作踏上新的台阶，并有助推动中国资本市场对外开放和改革发展，以及提升中国资本市场竞争力。
"A diversification of invoicing currencies to local currencies would help mitigate such risk.	「贸易结算货币多元化，如多采用买卖其中一方的货币，有助减低这方面的风险。
The following is issued on behalf of the Standing Committee on Language Education and Research:	下稿代语文教育及研究常务委员会发出：
FS promotes a caring society in his Budget	财政司司长通过预算案推动建设关爱社会
During the duty visit, Mr Tsang will also meet political and business leaders, members of think-tanks, the media and Chinese communities on the outlook of the Hong Kong economy and business opportunities that are available in Hong Kong to international investors.	访问期间，曾俊华亦会与当地政界及商界领袖、智库成员、传媒及华人社区人士会面，讲述香港的经济前景，以及国际投资者在港营商的机遇。
Held annually, the Festival is the largest of its kind in Israel and attracts several thousand I&T participants from around the world.	该创科节每年吸引全球数千名创科界人士参加。
"At the present stage, Government's priorities are to overcome the constraints posed by the ageing population on our economic growth, keep moving our economy up the value-added chain, and increase and preserve our revenue."	「现阶段，政府的工作重点是缓解人口老化对经济容量的制约，推动经济向更高增值发展，增加和保障收入。」
In addition, visitors of the Hong Kong Pavilion and Hong Kong's UBPA exhibition were delighted to receive the environmentally friendly carrier bag and the bracelet with a RFID chip to activate exhibits as souvenirs at the respective exhibition.	香港馆及「城市最佳实践区」香港展览分别派发环保袋和启动展品的无线射频识别手带供访客留念，大受欢迎。
Later, Mr Tsang went to Tianjin and had a meeting with the Executive Vice Mayor of Tianjin, Mr Cui Jindu.	及后，曾俊华转到天津，与天津市常务副市长崔津渡会面。
At a business luncheon co-organised by the Hong Kong Economic and Trade Office in Berlin, the Hong Kong Trade Development Council and the Polish Chamber of Commerce, Mr Tsang spoke with the business community in Poland on how Hong Kong can support Polish business to capitalise on the wealth of opportunities emerging from the "Belt and Road", citing Hong Kong's strengths as an international financial centre, a fundraising and financial management hub, the world's largest offshore Renminbi business centre and a global centre for asset management and risk management.	曾俊华在香港驻柏林经济贸易办事处、香港贸易发展局及波兰总商会合办的午餐会上，向波兰商界推广香港作为国际金融中心、集资和金融管理枢纽、全球最大的离岸人民币中心及全球资产管理及风险管理中心的多重优势，并概述香港如何协助波兰商界开拓「一带一路」的商机。
The campaign partners of InnoCarnival 2018, the Hong Kong Federation of Youth Groups and the Hong Kong Science and Technology Parks Corporation, together with about 60 programme partners, including local universities, research and development centres, professional bodies and technology organisations, have set up booths or pavilions to display their local innovations and research achievements.	嘉年华的伙伴机构——香港青年协会和香港科技园公司，连同约60个活动伙伴，包括本地大学、研发中心、专业团体和科技机构，设有展馆或摊位，展示其创意发明和科研成果。
"The Financial Secretary pointed out in his Budget that while the Government's overall fiscal position in the foreseeable future remains healthy, we have to be cautious that government expenditure in the longer term should be aligned with economic growth.	财政司司长在预算案指出，政府的财政状况虽然在可见的将来仍然健康，但我们同时要留意政府长远开支须与经济增长配合；
FS visits Chinese University (with photos/video)	财政司司长访问中文大学（附图／短片）
Mr Chan added that, given the volatile global political and economic landscape, the Government would continue to invest resources to improve and enhance public services.	他认为，面对复杂多变的国际政经形势，政府应继续投放资源，改善及提升公共服务。
Hong Kong's exports of goods soared by 17.3 per cent in real terms in 2010, while private consumption spending grew by  5.8 per cent and investment spending grew by 8.1 per cent.     The job market also improved significantly in the past year, with unemployment dropping to 3.8 per cent recently – 1.7 percentage points lower than the mid-2009 peak.	香港货物出口全年实质增长百分之十七点三，本地私人消费开支增加百分之五点八，整体投资更增长百分之八点一。 就业市场过去一年有明显改善，失业率回落至百分之三点八，从二○○九年年中的高位下降了一点七个百分点。
Ends/Wednesday, March 26, 2008Issued at HKT 17:09	２００８年３月２６日（星期三）香港时间２０时１６分
"I wish to reiterate that Hong Kong has been exercising a high degree of autonomy and enjoying executive, legislative and independent judicial power, including that of final adjudication in accordance with the Basic Law.	「此外，我亦希望重申，香港一直依照《基本法》的规定实行高度自治，享有行政管理权、立法权、独立的司法权和终审权。
FS starts visit to Riyadh (with photos)	财政司司长展开访问利雅德（附图）
Romania's interest withholding tax rate on Hong Kong residents, currently at 16 per cent, will be reduced to zero as long as Hong Kong levies no withholding tax on interest.	香港居民从罗马尼亚赚取的利息收入预扣税税率，只要香港没有就利息收入征收预扣税，会由现时的16％降至0％；
Apart from gauging public views through opinion surveys, consultation sessions have been conducted with different sectors, including business, tourism, education and environmental groups; district personalities, think tanks, academics, parents and students.	主透过民意调查和举行咨询会，接触了商界、旅游界、地区人士、智库、学者、家长、学生、环保与教育界人士等。
The Acting Financial Secretary, Professor K C Chan, said today (October 9) that Hong Kong's stock market, foreign exchange market and financial system have continued to function normally and in good order today.	署理财政司司长陈家强今日（十月九日）表示，香港股市、汇市、金融体系整日继续维持正常运作，秩序良好。
A person who meets the relevant eligibility criteria may apply for $4,000 or the balance after deducting the relevant tax concession and/or rates concession.	符合相关条件的市民，每人可申领4,000元或扣减相关退税及/或差饷宽减额后的差额。
In addition, HKSS can set up wholly-owned shipping companies on the Mainland to provide regular business services such as shipping undertaking, issuance of bills of lading, settlement of freight rates, signing of service contracts, etc. for the shipping transport between Hong Kong and Class B ports in Guangdong operated by HKSS using chartered Mainland vessels.	另外，香港服务提供者可在内地设立独资船务公司，为该香港服务供者租用的内地船舶经营香港至广东省二类港口之间的船舶运输，提供包括揽货、签发提单、结算运费、签订服务合同等日常业务服务。
Public expenditure will be equivalent to about 20.4 per cent of GDP.	公共开支将相当于本地生产总值百分之二十点四。
During the meeting, Members will continue to consider the amendments to the Copyright (Amendment) Bill 2014.	议员届时将继续审议《2014年版权（修订）条例草案》的各项修正案。
He said the Hong Kong Science and Technology Parks Corporation (HKSTP) was considering promoting smart production and research in the Tseung Kwan O Industrial Estate using robotics and IT to drive the development of the entire value chain, from product R&D and design to production, testing, marketing and branding.	他说香港科技园公司正研究在将军澳工业邨，针对智能生产和研发，汇聚机械人技术和资讯科技的先进制造业，推动整条价值链的发展，从产品研发、设计、生产、测试到市场推广和品牌管理。
Mr Chan also pointed out that Hong Kong is a global financial centre and a hub for offshore Renminbi business. He encouraged PNG enterprises to leverage on the platform of Hong Kong to develop their businesses.	陈茂波并指出，香港是国际金融中心及全球人民币离岸中心，鼓励巴布亚新几内亚企业善用香港这平台拓展业务。
All insurers and Mandatory Provident Fund schemes continue to operate normally.	所有保险公司和强制性公积金计划维持正常运作。
Today (September 5, Israel time), Mr Chan will continue his visit to Israel in Tel Aviv.	今日（以色列时间九月五日），陈茂波会继续在以色列特拉维夫的访问行程。
In Chengdu Financial City, Mr Tsang was given a briefing on its future plans and development.	在参观成都金融城时，曾俊华听取项目的未来计划和发展。
The Financial Secretary, Mr John C Tsang, will present the 2013-14 Budget to the Legislative Council at 11am tomorrow (February 27).	财政司司长曾俊华明日（二月二十七日）上午十一时在立法会发表二○一三至一四年度《财政预算案》。
On the morning of June 4, Mr Tsang will meet senior government officials of St. Petersburg City and the Managing Director of OOCL (Russia), Mr Nick Bykov.	六月四日上午，他将与圣彼得堡市政府高层人员及东方海外货柜航运公司（俄罗斯）总经理Nick Bykov会面。
Hong Kong has already earmarked resources to support cultural exchanges between the two places;	港方已预留资源，支持两地之间的文化交流；
Member of the Legislative Council, Dr Lo Wai-kwok; and the Chairman of the Wan Chai District Council, Mr Stephen Ng.	典礼的其他主礼嘉宾包括发展局局长马绍祥、立法会议员卢伟国博士和湾仔区议会主席吴锦津。
He forecast headline inflation and underlying inflation of about 2.5 per cent each in 2019, compared to 2.4 per cent and 2.6 per cent respectively in 2018.	他预测二零一九年整体通胀率与基本通胀率，均为百分之二点五。 去年两者数字分别是百分之二点四与百分之二点六。
The Chairman and Executive Director of the HKMCA and the Chief Executive of the Hong Kong Monetary Authority (HKMA), Mr Norman Chan, said, "The HKMA will lend its full support and collaboration to the Plan.	香港年金公司主席兼执行董事、香港金融管理局（金管局）总裁陈德霖表示：
The Secretary for Financial Services and the Treasury, Professor K C Chan, and the Chief Executive of the Hong Kong Monetary Authority, Mr Norman Chan, will join the visit.	财经事务及库务局局长陈家强和香港金融管理局总裁陈德霖会陪同曾俊华访京。
The G20 this year is concentrating efforts on maintaining financial stability, boosting growth and job creation, strengthening investment and tax reforms and promoting structural reforms. These aim at creating a favourable environment for strong, sustainable and balanced growth in the long term.	今年二十国集团领导人峰会的主题环绕维持金融稳定、刺激经济、促进就业、加强投资和税务合作、推动结构性改革，长远创造一个强劲、可持续和均衡的经济增长环境。
Ends/Monday, July 28, 2014Issued at HKT 16:25	２０１４年７月２８日（星期一）香港时间１６时２５分
Accompanied by the Chairman of the EDC, Mr Wong Kin-pan, and the District Officer (Eastern), Mr Simon Chan, Mr Chan first visited Aldrich Bay Government Primary School. Mr Chan chatted with students and parents and observed school projects related to music, STEM (science, technology, engineering and mathematics) and environmental protection.	陈茂波先在东区区议会主席黄建彬和东区民政事务专员陈尚文陪同下，到访爱秩序湾官立小学。 陈茂波与学生和家长交流，并参观校内与音乐、STEM（科学、科技、工程和数学）及环保相关的教育项目。
increase overall competitiveness;	提升整体经济竞争力；
Mr Tsang said that the challenge in the next few years would be to fulfill Hong Kong's role as China’s global financial centre and to more closely streamline the two financial systems.	曾俊华表示，香港未来几年的挑战包括落实香港成为国家全球金融中心的角色，并进一步拉近两地的金融系统。
These measures were mainly to support small and medium enterprises (SMEs), help our people, preserve employment and lessen the impact of the economic slowdown.	这些措施主要是支援中小企，帮助市民，保持就业，和减轻经济放缓的影响。
The Johannesburg Stock Exchange is the largest in Africa and is one of the top twenty major exchanges in the world.	约翰内斯堡证券交易所是非洲最大和位居全球二十大的交易所。
Financial Secretary:	财政司司长：
As a member of the World Bank Group, the IFC is a global development institution with a focus on private sector development in developing countries.	国际金融公司是世界银行集团成员及全球发展机构，专注发展中国家私营市场的发展。
FS to visit Vietnam, Malaysia and Thailand	财政司司长出访越南、马来西亚、泰国
Ends/Wednesday, February 27, 2013Issued at HKT 11:15 NNNN	２０１３年２月２７日（星期三）香港时间１１时１５分
Mr Chan will return to Hong Kong in the morning of June 3.	陈茂波将于六月三日早上返抵本港。
As unveiled by the long-term projections set out in the Report of the Working Group on Long-Term Fiscal Planning, the Government's overall fiscal position in the short to medium term remains healthy.	根据长远财政计划工作小组报告的长远推算，政府的短、中期整体财政状况依然稳健。
He will also attend meetings with the Chairman of Central Bank of Russia, Mr Sergei Ignatiev; the Head of Federal Service for the Financial Markets of Russia, Mr Vladimir Milovidov;	他又会出席不同的会议，分别与俄罗斯央行主席Sergei Ignatiev、俄罗斯金融市场服务部主席Vladimir Milovidov和俄罗斯保险监管服务部主席Aleksandr Koval会面。
The tax reduction will be reflected in the tax bill for the coming year.	这项宽减会减低来年应缴的税款。
A meeting with the Minister of Foreign Affairs and International Development of France, Mr Laurent Fabius, was held this morning (October 29, Paris time). Both sides expressed the wish to consolidate the bilateral relationship and strengthen trade collaboration.	今日上午（巴黎时间十月二十九日），曾俊华先与法国外交与国际发展部部长洛朗．法比尤斯会面，双方均表示希望进一步巩固双边关系，强化经贸合作。
Mr Tsang today also attended a working lunch with the APEC Business Advisory Council.	曾俊华今日亦出席了亚太经合组织商贸咨询理事会工作午宴。
* A one-off tax reduction of 50% of salaries tax and tax under personal assessment for 2008-09, up to a maximum of $6,000.	＊　一次过宽减二○○八至○九年度百分之五十的薪俸税及个人入息课税，上限为6,000元。
Queensway Government Offices Immigration Tower Revenue Tower Wan Chai Tower North Point Government Offices Trade and Industry Department Tower Tsuen Wan Government Offices* Offices of the Labour Department (Labour Relations Division or Job Centres) at:	金钟道政府合署　　入境事务大楼　　税务大楼　　湾仔政府大楼　　北角政府合署　　工业贸易署大楼　　荃湾政府大楼＊　劳工处劳资关系科分区办事处／劳工处就业中心：
FS visits Chengdu (with photos)	财政司司长在成都访问（附图）
In addition to advising the SFC on its operational procedures, the PRP submits to the Financial Secretary and publishes annual reports on its review and its observations and recommendations made regarding the SFC's internal processes and procedures.	证监会程序覆检委员会除了就证监会的运作程序向证监会提供意见外，亦向财政司司长提交和发表周年报告。
“In other words, the annual subvention in 2011-12 will be approximately $2.6 billion higher than at present,” he said.	他说： 「换言之，到二○一一至一二年度每年的资助金额会比目前增加约26亿元。」
But I think the first thing that we need to do is to come to a consensus, come to a recognition, come to an understanding that there is such a problem and we do have the determination to resolve that.	我可以告诉你听，现在绝对是没有条件作出任何的调整，但是我们需要密切留意现在的情况，因为我们看的亦不是看任何一个数字作出决定怎样去推行，因为这是个比较复杂的事情。
The Hong Kong Monetary Authority (HKMA) has established the Infrastructure Financing Facilitation Office and signed an agreement with the International Finance Corporation, a member of the World Bank Group, to support the financing of its projects.	香港金融管理局（金管局）成立了基建融资促进办公室，并与世界银行集团成员国际金融公司签订协议，支持该公司的项目融资。
Ends/Thursday, July 27, 2017	2017年7月27日（星期四）
The full text of the Budget Speech and other related documents will also be released simultaneously on the Budget website (www.budget.gov.hk).	《财政预算案》演辞及其他有关资料亦会在《财政预算案》网页www.budget.gov.hk同步发放。
The Financial Secretary, Mr Paul Chan, said, "The Hong Kong Special Administrative Region Government welcomes the Ministry of Finance's issuance of RMB sovereign bonds in Hong Kong for the tenth consecutive year.	财政司司长陈茂波说： 「特区政府欢迎财政部连续第十年在香港发行人民币国债。
Mr Tsang earmarked a total of $95 million for the Hong Kong Tourism Board, including $45 million to promote conventions and exhibitions and $50 million to inject new elements into popular established events.	财政司司长给旅游发展局增拨九千五百万元，包括四千五百万元用来推动会议展览活动，另外五千万元为备受欢迎的盛事注入新元素。
A Laptop Library will be established, with about 250 laptop computers at the initial stage, for loan to the public.	计划亦包括设立手提电脑库，并于首阶段提供约二百五十部手提电脑，供市民借用。
The package reflects the redevelopment potential of the Cornwall House Property and any appreciation in office property value up till the completion of the redevelopment.	上述交易条款已反映康和大厦物业的重建潜力及直至重建完成时写字楼物业价格的升幅。
FS to attend IMF and World Bank Group Annual Meetings	财政司司长前赴东京出席国际货币基金组织和世界银行集团年会
S&P's decision to upgrade Hong Kong's ratings outlook welcomed	政府欢迎标准普尔决定调高香港评级前景
The report noted that Hong Kong's income and corporate tax rates were very competitive, and overall taxation was relatively small as a percentage of GDP.	报告指出香港的个人入息税及公司利得税税率极具竞争力，而整体征税占本地生产总值的百分率亦相对为低。
It was agreed that all available policy tools, including monetary, fiscal and structural tools, will be required in order to achieve the objective of strong, sustainable, balanced and inclusive economic growth in the region.	与会各方均认同，要推动区内经济达至强劲、可持续、均衡和包容的增长，各成员需要采用所有可行的政策工具，包括结构性改革、财政政策及货币政策。
FS urges Indian companies to invest in Hong Kong (with photos)	财政司司长呼吁印度公司在香港投资（附图）
Ends/Monday, November 20, 2017	2017年11月20日（星期一）
On Thursday (February 26), the Financial Secretary will attend a joint radio phone-in programme at 8am to answer Budget questions from members of the public.	财政司司长亦会于星期四（二月二十六日）上午八时出席电台联合特备节目「财政司司长热线」，解答市民有关财政预算案的问题。
Welcoming the agreement, Mr Tsang added that it sets out clearly the allocation of taxing rights between the two jurisdictions and thus will help investors better assess their potential tax liabilities from cross-border economic activities.	曾俊华欢迎该全面性协定，并表示协定阐明双方的征税权，有助投资者更有效地评估其跨境经济活动的潜在税务负担。
This is an annual platform for authorities of corporate and business registers around the world to exchange experience and information on current operation and future development initiatives of corporate registration systems, and review the latest developments in corporate and business registers.	全球公司注册及商业注册监管机构会利用周年会议的机会，就公司注册制度的现行运作及未来发展策略交流经验和资讯，并检视公司注册及商业注册事宜的最新发展。
The Financial Secretary, Mr John C Tsang, in Tehran, Iran, today (November 9, Tehran time) promoted to the Iran business community the unique business platform and world-class professional services that Hong Kong can offer to help Iranian companies in expanding their businesses in overseas markets.	财政司司长曾俊华今日（德黑兰时间十一月九日）在伊朗德黑兰向伊朗商界推广香港独有营商平台和世界级的专业服务，能够协助伊朗企业拓展海外市场。
The Financial Secretary, Mr Paul Chan, will deliver the 2019-20 Budget at the Legislative Council at 11am tomorrow (February 27).	财政司司长陈茂波明日（二月二十七日）上午十一时在立法会发表二零一九至二零年度《财政预算案》。
He viewed patients' training sessions and chatted with the Inn's patients and their families to learn about their daily lives.	他参观了病人接受日间训练的情况，亦与院舍的病人及其家属交谈，了解他们的生活情况。
In the past year, Hong Kong’s exports grew notably by 7.9 per cent.  Domestic private consumption spending was buoyant, registering growth of 7.8 per cent, the highest since 1993.	过去一年，香港出口表现不俗，增长达百分之七点九。 本地私人消费开支强劲，增长达百分之七点八，是一九九三年以来的最大升幅。
Queensway Government Offices Immigration Tower Revenue Tower Wan Chai Tower North Point Government Offices Trade and Industry Department Tower Tsuen Wan Government Offices* Offices of the Labour Department (Labour Relations Division or Job Centres) at:	金钟道政府合署　　入境事务大楼　　税务大楼　　湾仔政府大楼　　北角政府合署　　工业贸易署大楼　　荃湾政府大楼＊　劳工处劳资关系科分区办事处／劳工处就业中心：
He was the first Chairman of the Hong Kong Exchanges and Clearing Limited and the Chairman of the Council of the Open University of Hong Kong, and is the incumbent Chairman of the Executive Committee of Hong Kong Arts Festival Society Limited.	李业广曾担任香港交易及结算所有限公司的首任主席，以及香港公开大学校董会主席，现任香港艺术协会有限公司主席。
Ends/Tuesday, February 10, 2009Issued at HKT 18:02	２００９年２月１０日（星期二）香港时间１８时０２分
I will continue to do all I can to tell our investors the advantages of Hong Kong’s position in the region and the benefits of using Hong Kong as a platform for doing business in and with Mainland China, ” the Financial Secretary said.	我将继续努力向投资者推介香港在区内的优越定位，以及香港为投资者提供利于营商的平台，进军中国内地市场。」
Ends/Wednesday, January 16, 2013Issued at HKT 16:10	２０１３年１月１６日（星期三）香港时间１６时１０分
He said that over $50 billion has been set aside in the 2018-19 Budget to support Hong Kong's I&T development, with a focus on the four key areas of biotechnology, artificial intelligence, smart city and financial technologies.	他亦表示，二○一八至一九年度《财政预算案》预留超过500亿元支持香港创新科技的发展，聚焦在生物科技、人工智能、智慧城市和金融科技四大范畴。
This was followed by a meeting with HRH the Governor of Riyadh Province, Prince Turki bin Abdullah bin Abdulaziz, who is also the Chairman of the ArRiyadh Development Authority.	其后，曾俊华与利雅德省省长兼利雅德发展高级委员会主席杜基王子会面。
The increase in government expenditure in recent years is by no means conservative, which is a testimony to the Government's on-going commitment to the community. Taking into account Hong Kong's fiscal affordability in the long term, we must strictly control the growth of our expenditure, especially recurrent expenditure.	政府近年的开支增长，绝不保守，充分反映政府对社会的长远承担。 考虑到香港的长远财政承担能力，我们有必要严格控制我们的开支，尤其是经常开支的增长。
Total government revenue for 2015-16 is estimated at $477.6 billion, of which earnings and profits tax is estimated at $194.6 billion.	二零一五／一六年度的总收入预计为四千七百七十六亿元。 其中，入息和利得税预计为一千九百四十六亿元。
Mr Tsang then attended a luncheon at Asia House, at which he said that the close links between Hong Kong and the United Kingdom (UK), combined with Mainland China's rapid reform and opening up to the world, continue to present new opportunities for business.	曾俊华在亚洲之家午餐会上表示，香港和英国关系深远，加上中国改革开放步伐加快，不断创造新商机。
Ends/Monday, September 24, 2012Issued at HKT 20:04	２０１２年９月２４日（星期一）香港时间２０时０４分
After concluding his visit in New York on October 12 (New York time), he will fly to Lima, Peru, to attend the Asia-Pacific Economic Cooperation Finance Ministers' Meeting.	他十月十二日（纽约时间）结束纽约的访问行程后，会转赴秘鲁利马出席亚太区经济合作组织财政部长会议。
Mr Tsang was in a meeting with two Deputy Ministers of Agriculture Mr Dmitry Yuryev and Ilya Shestakov this morning. Both sides agreed that there is great potential for exporting Russian agricultural products to Hong Kong, especially seafood, livestock, fruit and flowers, etc. They agreed to organise visits for related trade and enterprises to enhance understanding.	今日早上，曾俊华与俄罗斯农业部两位副部长Dmitry Yuryev和Ilya Shestakov会面，双方同意俄罗斯输出农产品到香港的潜力很大，特别是海鲜丶禽畜丶水果、鲜花等。 双方同意组织相关的企业和商业互访，进一步探讨合作的机会。
The Financial Secretary said he would allocate $500 million to the Leisure and Cultural Services Department for the acquisition of museum collections and to hold exhibitions.	财政司司长称，他会拨款5亿元予康乐及文化事务署，用作添置博物馆馆藏及举办展览。
Jointly organised by YPTP of the Labour Department, HAECO and the Hong Kong Federation of Trade Unions, the Aircraft Maintenance Craftsman Trainee Project targets teenagers who aspire to work in aircraft maintenance. The project offers the trainees a one-month training course that equips them to take up the post of Aircraft Maintenance Craftsman Trainee in the future.	由劳工处「展翅计划」联同港机及香港工会联合会合办的「飞机维修群英招募计划」，专为有志投身飞机维修行业的年青人提供一个月的职前培训课程，为入职「见习飞机维修员」作好准备。
Due to an expected large number of applicants, the sales period for the Plan this time to complete all of the distribution procedures is expected to last for half a year until March 2019.	因预期申请人数众多，要全部处理完毕这次的销售程序，可能需时半年，直至二○一九年三月。
Ends/Wednesday, November 16, 2016	2016年11月16日（星期三）
In the present circumstances, investors would inevitably be affected.	在这些情况下，市场上所有投资者都无可避免受到一些影响。
He first met with the Global Head of Institutional Client Business and Co-Head of BlackRock Alternative Investors, Mr Mark McCombe, and the Head of the Multi-Asset Strategies Group, Mr Richard Kushel.	他首先会见了贝莱德机构投资者业务环球主管兼贝莱德另类投资联席主管马凯博及贝莱德多元资产策略主管Richard Kushel。
Mr Tsang expressed the wish to strengthen co-operation with the CIRC in assisting insurance companies in Hong Kong to enter the Mainland market.	曾俊华表示希望双方加强合作，推动香港保险业进入内地市场。
New Territories West	新界西
That's why, this year, in this particular Budget, we are preparing ourselves in all fronts.	大家或者记得，我们在九八、九九年那六年期间，我们有五年有赤字。
FS welcomed publication of annual report of Process Review Panel for the Securities and Futures Commission	财政司司长欢迎证券及期货事务监察委员会程序覆检委员会发表周年报告
Both sides discussed opportunities for collaboration between the two places.	双方讨论两地合作机遇。
I wish him all the best in his retirement.”	我祝愿他退休后生活愉快。」
The Staff Report can be obtained from the website of the Financial Services and the Treasury Bureau (www.fstb.gov.hk) or the IMF website (www.imf.org).	评估报告可从财经事务及库务局网站（www.fstb.gov.hk）或基金组织网站（www.imf.org）下载。
